Name,Image URL,Product URL,Price,Core Count,Performance Core Clock,Performance Core Boost Clock,Efficiency Core Clock,Efficiency Core Boost Clock,TDP,Manufacturer,Part #,Integrated Graphics,Maximum Supported Memory,ECC Support,Includes Cooler,Packaging,Lithography,Includes CPU Cooler,Simultaneous Multithreading,Specs Number
AMD Ryzen 7 7800X3D,//cdna.pcpartpicker.com/static/forever/images/product/f0e0e59d75066ec825667b71c31e3c83.256p.jpg,https://pcpartpicker.com/product/3hyH99/amd-ryzen-7-7800x3d-42-ghz-8-core-processor-100-100000910wof,$358.99 ,"
8
","
4.2 GHz
","
5 GHz
",N/A,N/A,"
120 W
","
AMD
",100-100000910WOF,"
Radeon
","
128 GB
","
Yes
","
No
",Boxed,"
5 nm
","
No
",N/A,20
AMD Ryzen 5 7600X,//cdna.pcpartpicker.com/static/forever/images/product/fd6305088c9d16d59017b380fb9c408a.256p.jpg,https://pcpartpicker.com/product/66C48d/amd-ryzen-5-7600x-47-ghz-6-core-processor-100-100000593wof,$207.98 ,"
6
","
4.7 GHz
","
5.3 GHz
",N/A,N/A,"
105 W
","
AMD
",100-100000593WOF,"
Radeon
","
128 GB
","
Yes
","
No
",Boxed,"
5 nm
","
No
",N/A,20
AMD Ryzen 5 5600X,//cdna.pcpartpicker.com/static/forever/images/product/3ef757133d38ac40afe75da691ba7d60.256p.jpg,https://pcpartpicker.com/product/g94BD3/amd-ryzen-5-5600x-37-ghz-6-core-processor-100-100000065box,$134.00 ,"
6
","
3.7 GHz
","
4.6 GHz
",N/A,N/A,"
65 W
","
AMD
",100-100000065BOX,"
None
","
128 GB
","
No
","
Yes
",Boxed,"
7 nm
","
Yes
",N/A,20
AMD Ryzen 5 7600,//cdna.pcpartpicker.com/static/forever/images/product/4a9bfe0a3f46152eea8bea46c54e1775.256p.jpg,https://pcpartpicker.com/product/yXmmP6/amd-ryzen-5-7600-38-ghz-6-core-processor-100-100001015box,$187.75 ,"
6
","
3.8 GHz
","
5.1 GHz
",N/A,N/A,"
65 W
","
AMD
",100-100001015BOX,"
Radeon
","
128 GB
","
Yes
","
Yes
",Boxed,"
5 nm
","
Yes
",N/A,20
Intel Core i9-14900K,//cdna.pcpartpicker.com/static/forever/images/product/c9117c605854e9387e57cd69ebca2415.256p.jpg,https://pcpartpicker.com/product/ZLjRsY/intel-core-i9-14900k-32-ghz-24-core-processor-bx8071514900k,$549.00 ,"
24
","
3.2 GHz
","
6 GHz
","
2.4 GHz
","
4.4 GHz
","
125 W
","
Intel
",BX8071514900K,"
Intel UHD Graphics 770
","
192 GB
","
Yes
","
No
",Boxed,"
10 nm
","
No
",N/A,22
Intel Core i7-14700K,//cdna.pcpartpicker.com/static/forever/images/product/c3e5d01cec2fa20b6f47fe8a400c08d6.256p.jpg,https://pcpartpicker.com/product/BmWJ7P/intel-core-i7-14700k-34-ghz-20-core-processor-bx8071514700k,$399.99 ,"
20
","
3.4 GHz
","
5.6 GHz
","
2.5 GHz
","
4.3 GHz
","
125 W
","
Intel
",BX8071514700K,"
Intel UHD Graphics 770
","
192 GB
","
Yes
","
No
",Boxed,"
10 nm
","
No
",N/A,22
Intel Core i5-12400F,//cdna.pcpartpicker.com/static/forever/images/product/5fe3c9cc8cbaaa4aa52aed7389d2cc10.256p.jpg,https://pcpartpicker.com/product/pQNxFT/intel-core-i5-12400f-25-ghz-6-core-processor-bx8071512400f,$132.99 ,"
6
","
2.5 GHz
","
4.4 GHz
",N/A,N/A,"
65 W
","
Intel
",BX8071512400F,"
None
","
128 GB
","
No
","
Yes
",Boxed,"
10 nm
","
Yes
",N/A,20
AMD Ryzen 5 5600,//cdna.pcpartpicker.com/static/forever/images/product/49fca908d8863ded4df790bd3af6bc12.256p.jpg,https://pcpartpicker.com/product/PgcG3C/amd-ryzen-5-5600-36-ghz-6-core-processor-100-100000927box,$139.00 ,"
6
","
3.5 GHz
","
4.4 GHz
",N/A,N/A,"
65 W
","
AMD
",100-100000927BOX,"
None
","
128 GB
","
No
","
Yes
",Boxed,"
7 nm
","
Yes
",N/A,20
AMD Ryzen 7 7700X,//cdna.pcpartpicker.com/static/forever/images/product/6d3fb7600f26fb1e94e8b0c1a99e0bfa.256p.jpg,https://pcpartpicker.com/product/WfqPxr/amd-ryzen-7-7700x-45-ghz-8-core-processor-100-100000591wof,$293.99 ,"
8
","
4.5 GHz
","
5.4 GHz
",N/A,N/A,"
105 W
","
AMD
",100-100000591WOF,"
Radeon
","
128 GB
","
Yes
","
No
",Boxed,"
5 nm
","
No
",N/A,20
AMD Ryzen 5 3600,//cdna.pcpartpicker.com/static/forever/images/product/c7baf2c9c9cc15ae23adb24c2f4316fc.256p.jpg,https://pcpartpicker.com/product/9nm323/amd-ryzen-5-3600-36-thz-6-core-processor-100-100000031box,$82.99 ,"
6
","
3.6 GHz
","
4.2 GHz
",N/A,N/A,"
65 W
","
AMD
",N/A,"
None
","
128 GB
","
No
","
Yes
",Boxed,"
7 nm
","
Yes
",N/A,20
