Name,Image URL,Product URL,Price,Manufacturer,Part #,Chipset,Memory,Memory Type,Core Clock,Boost Clock,Effective Memory Clock,Interface,Color,Frame Sync,Length,TDP,Case Expansion Slot Width,Total Slot Width,Cooling,External Power,HDMI Outputs,DisplayPort Outputs,DVI-D Dual Link Outputs,HDMI 2.1a Outputs,DisplayPort 1.4 Outputs,DisplayPort 1.4a Outputs,DisplayPort 2.1 Outputs,SLI/CrossFire
MSI GeForce RTX 3060 Ventus 2X 12G,//cdna.pcpartpicker.com/static/forever/images/product/dbc81b89efc82ce66fb2e3ab7e0f0658.256p.jpg,https://pcpartpicker.com/product/pD8bt6/msi-geforce-rtx-3060-ventus-2x-12g-geforce-rtx-3060-12gb-12-gb-video-card-rtx3060ventus2x12goc,$289.00 ,MSI,"RTX3060Ventus2X12GOC, GeForce RTX 3060 VENTUS 2X 12G OC, V397-022R, 912-V397-039",GeForce RTX 3060 12GB,12 GB,GDDR6,1320 MHz,1777 MHz,15000 MHz,PCIe x16,Black,G-Sync,235 mm,170 W,2,2,2 Fans,1 PCIe 8-pin,1,3,N/A,N/A,N/A,N/A,N/A,N/A
Gigabyte WINDFORCE OC,//cdna.pcpartpicker.com/static/forever/images/product/772cce097c55469671a0d75ea4aca83a.256p.jpg,https://pcpartpicker.com/product/FnLdnQ/gigabyte-windforce-oc-geforce-rtx-4070-12-gb-video-card-gv-n4070wf3oc-12gd,$581.19 ,Gigabyte,GV-N4070WF3OC-12GD,GeForce RTX 4070,12 GB,GDDR6X,1920 MHz,2490 MHz,N/A,PCIe x16,Black,G-Sync,261 mm,200 W,2,3,3 Fans,1 PCIe 8-pin,N/A,N/A,N/A,1,3,N/A,N/A,N/A
Asus ROG STRIX GAMING OC,//cdna.pcpartpicker.com/static/forever/images/product/9f7b45a2816c45ea9449e8ca2bf6f616.256p.jpg,https://pcpartpicker.com/product/ZKWzK8/asus-rog-strix-gaming-oc-geforce-rtx-4090-24-gb-video-card-rog-strix-rtx4090-o24g-gaming,"$1,979.99 ",Asus,"ROG-STRIX-RTX4090-O24G-GAMING, 90YV0ID0-M0NA00, 90YV0ID0-M0AA00",GeForce RTX 4090,24 GB,GDDR6X,2235 MHz,2640 MHz,21000 MHz,PCIe x16,Black,G-Sync,358 mm,450 W,2,4,3 Fans,1 PCIe 16-pin,N/A,N/A,N/A,2,N/A,3,N/A,N/A
Gigabyte WINDFORCE OC,//cdna.pcpartpicker.com/static/forever/images/product/6b90f36fbe6c1408ac40ab85c762807c.256p.jpg,https://pcpartpicker.com/product/KvcgXL/gigabyte-windforce-oc-geforce-rtx-4070-ti-super-16-gb-video-card-gv-n407tswf3oc-16gd,$799.99 ,Gigabyte,GV-N407TSWF3OC-16GD,GeForce RTX 4070 Ti SUPER,16 GB,GDDR6X,2340 MHz,2625 MHz,N/A,PCIe x16,Black,G-Sync,261 mm,285 W,2,3,3 Fans,1 PCIe 16-pin,N/A,N/A,N/A,1,N/A,3,N/A,N/A
Asus DUAL OC,//cdna.pcpartpicker.com/static/forever/images/product/b836633d335617f71eb7b4e5f0ba43b7.256p.jpg,https://pcpartpicker.com/product/X7CZxr/asus-dual-oc-geforce-rtx-4060-8-gb-video-card-dual-rtx4060-o8g,$309.99 ,Asus,"DUAL-RTX4060-O8G, 90YV0JC0-M0NA00",GeForce RTX 4060,8 GB,GDDR6,1830 MHz,2535 MHz,N/A,PCIe x16,Black,G-Sync,227 mm,115 W,2,3,2 Fans,1 PCIe 8-pin,N/A,N/A,N/A,1,N/A,3,N/A,N/A
Gigabyte GAMING OC,//cdna.pcpartpicker.com/static/forever/images/product/7760e2607e7488a74486e8de8d3162b5.256p.jpg,https://pcpartpicker.com/product/mHpQzy/gigabyte-gaming-oc-radeon-rx-7800-xt-16-gb-video-card-gv-r78xtgaming-oc-16gd,$499.00 ,Gigabyte,GV-R78XTGAMING OC-16GD,Radeon RX 7800 XT,16 GB,GDDR6,1295 MHz,2565 MHz,N/A,PCIe x16,Black,FreeSync,302 mm,263 W,2,3,3 Fans,2 PCIe 8-pin,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A
Gigabyte WINDFORCE OC,//cdna.pcpartpicker.com/static/forever/images/product/c17472cd578b7847c10089750b161a2f.256p.jpg,https://pcpartpicker.com/product/HCkH99/gigabyte-windforce-oc-geforce-rtx-4070-super-12-gb-video-card-gv-n407swf3oc-12gd,$599.99 ,Gigabyte,GV-N407SWF3OC-12GD,GeForce RTX 4070 SUPER,12 GB,GDDR6X,1980 MHz,2505 MHz,N/A,PCIe x16,Black,G-Sync,261 mm,220 W,2,3,3 Fans,1 PCIe 16-pin,N/A,N/A,N/A,1,N/A,3,N/A,N/A
ASRock Challenger D,//cdna.pcpartpicker.com/static/forever/images/product/c5489241c902a9ae06a42212e978f989.256p.jpg,https://pcpartpicker.com/product/D9ytt6/asrock-radeon-rx-6600-8-gb-challenger-d-video-card-rx6600-cld-8g,$189.99 ,ASRock,"RX6600 CLD 8G, 90-GA2RZZ-00UANF",Radeon RX 6600,8 GB,GDDR6,1626 MHz,N/A,N/A,PCIe x16,Black,FreeSync,269 mm,132 W,2,2,2 Fans,1 PCIe 8-pin,1,3,N/A,N/A,N/A,N/A,N/A,N/A
PNY VCNRTX6000ADA-PB,//cdna.pcpartpicker.com/static/forever/images/product/6ef5b8f1b94982c71019a0d9ac2795e2.256p.jpg,https://pcpartpicker.com/product/82bRsY/pny-vcnrtx6000ada-pb-rtx-6000-ada-generation-48-gb-video-card-vcnrtx6000ada-pb,"$9,999.00 ",PNY,VCNRTX6000ADA-PB,RTX 6000 Ada Generation,48 GB,GDDR6,915 MHz,2505 MHz,20000 MHz,PCIe x16,Black / Gold,None,267 mm,300 W,2,2,1 Fan,1 PCIe 16-pin,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A
XFX Speedster SWFT 309,https://m.media-amazon.com/images/I/41Gcn+794SS.jpg,https://pcpartpicker.com/product/RFGbt6/xfx-radeon-rx-6700-xt-12-gb-speedster-swft-309-video-card-rx-67xtyjfdv,$299.99 ,XFX,RX-67XTYJFDV,Radeon RX 6700 XT,12 GB,GDDR6,2321 MHz,2581 MHz,N/A,PCIe x16,Black,FreeSync,304 mm,230 W,2,2,3 Fans,2 PCIe 8-pin,1,3,N/A,N/A,N/A,N/A,N/A,N/A
