Name,Image URL,Product URL,Price,Manufacturer,Part #,Speed,Form Factor,Modules,Price / GB,Color,First Word Latency,CAS Latency,Voltage,Timing,ECC / Registered,Heat Spreader,Specs Number
Corsair Vengeance LPX 16 GB,//cdna.pcpartpicker.com/static/forever/images/product/835ab3efad1be13bbe53beef3e3c6f96.256p.jpg,https://pcpartpicker.com/product/p6RFf7/corsair-memory-cmk16gx4m2b3200c16,$44.99 ,"
Corsair
",CMK16GX4M2B3200C16,"
DDR4-3200
","
288-pin DIMM (DDR4)
","
2 x 8GB
","
$2.812
","
Black / Yellow
","
10 ns
","
16
","
1.35 V
","
16-18-18-36
","
Non-ECC / Unbuffered
","
Yes
",13
Corsair Vengeance 32 GB,https://m.media-amazon.com/images/I/41jJSPS8W7L.jpg,https://pcpartpicker.com/product/4kmmP6/corsair-vengeance-32-gb-2-x-16-gb-ddr5-5600-cl36-memory-cmk32gx5m2b5600c36,$113.99 ,"
Corsair
",CMK32GX5M2B5600C36,"
DDR5-5600
","
288-pin DIMM (DDR5)
","
2 x 16GB
","
$3.562
","
Black
","
12.857 ns
","
36
","
1.25 V
","
36-36-36-76
","
Non-ECC / Unbuffered
","
Yes
",13
G.Skill Trident Z5 RGB 32 GB,//cdna.pcpartpicker.com/static/forever/images/product/e8d573bd2eac864d427645f0d2f7cad8.256p.jpg,https://pcpartpicker.com/product/mhJgXL/gskill-trident-z5-rgb-32-gb-2-x-16-gb-ddr5-6000-cl36-memory-f5-6000j3636f16gx2-tz5rk,$117.99 ,"
G.Skill
",F5-6000J3636F16GX2-TZ5RK,"
DDR5-6000
","
288-pin DIMM (DDR5)
","
2 x 16GB
","
$3.687
","
Black
","
12 ns
","
36
","
1.35 V
","
36-36-36-96
","
Non-ECC / Unbuffered
","
Yes
",13
Corsair Vengeance 32 GB,//cdna.pcpartpicker.com/static/forever/images/product/fe414d3559a9bbb2e092ba5374f6e1ed.256p.jpg,https://pcpartpicker.com/product/JkfxFT/corsair-vengeance-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-cmk32gx5m2b6000c30,$114.99 ,"
Corsair
",CMK32GX5M2B6000C30,"
DDR5-6000
","
288-pin DIMM (DDR5)
","
2 x 16GB
","
$3.593
","
Black / Gray
","
10 ns
","
30
","
1.4 V
","
30-36-36-76
","
Non-ECC / Unbuffered
","
Yes
",13
Corsair Vengeance RGB Pro 32 GB,//cdna.pcpartpicker.com/static/forever/images/product/5f09867b54e9ad932b4dd1bc767f6238.256p.jpg,https://pcpartpicker.com/product/khmFf7/corsair-vengeance-rgb-pro-32-gb-2-x-16-gb-ddr4-3600-memory-cmw32gx4m2z3600c18,$94.99 ,"
Corsair
",CMW32GX4M2Z3600C18,"
DDR4-3600
","
288-pin DIMM (DDR4)
","
2 x 16GB
","
$2.968
","
Black
","
10 ns
","
18
","
1.35 V
","
18-22-22-42
","
Non-ECC / Unbuffered
","
Yes
",13
G.Skill Trident Z5 RGB 64 GB,//cdna.pcpartpicker.com/static/forever/images/product/e5d0d71b07fa16cc1ac7eb3c676a7831.256p.jpg,https://pcpartpicker.com/product/636p99/gskill-trident-z5-rgb-64-gb-2-x-32-gb-ddr5-6400-cl32-memory-f5-6400j3239g32gx2-tz5rk,$217.99 ,"
G.Skill
",F5-6400J3239G32GX2-TZ5RK,"
DDR5-6400
","
288-pin DIMM (DDR5)
","
2 x 32GB
","
$3.406
","
Black / Silver
","
10 ns
","
32
","
1.4 V
","
32-39-39-102
","
Non-ECC / Unbuffered
","
Yes
",13
Corsair Vengeance LPX 32 GB,//cdna.pcpartpicker.com/static/forever/images/product/11742fd6eec55fde4e3ee3a79529a111.256p.jpg,https://pcpartpicker.com/product/Yg3mP6/corsair-vengeance-lpx-32-gb-2-x-16-gb-ddr4-3600-memory-cmk32gx4m2d3600c18,$81.99 ,"
Corsair
",CMK32GX4M2D3600C18,"
DDR4-3600
","
288-pin DIMM (DDR4)
","
2 x 16GB
","
$2.562
","
Black / Yellow
","
10 ns
","
18
","
1.35 V
","
18-22-22-42
","
Non-ECC / Unbuffered
","
Yes
",13
Corsair Vengeance RGB 32 GB,//cdna.pcpartpicker.com/static/forever/images/product/ebca1cc55cb7829ce3ed0b8a13efce7e.256p.jpg,https://pcpartpicker.com/product/QTLFf7/corsair-vengeance-rgb-32-gb-2-x-16-gb-ddr5-6000-cl36-memory-cmh32gx5m2d6000c36w,$127.99 ,"
Corsair
",CMH32GX5M2D6000C36W,"
DDR5-6000
","
288-pin DIMM (DDR5)
","
2 x 16GB
","
$4.000
","
White
","
12 ns
","
36
","
1.35 V
","
36-36-36-76
","
Non-ECC / Unbuffered
","
Yes
",13
TEAMGROUP T-Force Delta RGB 32 GB,//cdna.pcpartpicker.com/static/forever/images/product/09e373465295e5629efd7959a7147a3b.256p.jpg,https://pcpartpicker.com/product/WFVmP6/teamgroup-t-force-delta-rgb-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-ff4d532g6000hc30dc01,$106.99 ,"
TEAMGROUP
",FF4D532G6000HC30DC01,"
DDR5-6000
","
288-pin DIMM (DDR5)
","
2 x 16GB
","
$3.343
","
White
","
10 ns
","
30
","
1.35 V
","
30-36-36-76
","
Non-ECC / Unbuffered
","
Yes
",13
TEAMGROUP T-Force Delta RGB 32 GB,//cdna.pcpartpicker.com/static/forever/images/product/d2e3f9b94f541ad51a19011026245df2.256p.jpg,https://pcpartpicker.com/product/2JLFf7/teamgroup-t-force-delta-rgb-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-ff3d532g6000hc30dc01,$104.21 ,"
TEAMGROUP
",FF3D532G6000HC30DC01,"
DDR5-6000
","
288-pin DIMM (DDR5)
","
2 x 16GB
","
$3.257
","
Black
","
10 ns
","
30
","
1.35 V
","
30-36-36-76
","
Non-ECC / Unbuffered
","
Yes
",13
