Name,Image URL,Product URL,Price,Manufacturer,Part #,Capacity,Price / GB,Type,Cache,Form Factor,Interface,NVME,,
Samsung 980 Pro,//cdna.pcpartpicker.com/static/forever/images/product/3b2a91588d1a28bfa1b0184fb7f1c0a1.256p.jpg,https://pcpartpicker.com/product/f3cRsY/samsung-980-pro-2-tb-m2-2280-nvme-solid-state-drive-mz-v8p2t0bam,$179.00 ,"
Samsung
","MZ-V8P2T0B/AM, MZ-V8P2T0BW","
2 TB
","
$0.089
","
SSD
","
2048 MB
","
M.2-2280
","
M.2 PCIe 4.0 X4
",No,,
Kingston NV2,//cdna.pcpartpicker.com/static/forever/images/product/7aa3028d0fc04e0ee3323f474bd349bd.256p.jpg,https://pcpartpicker.com/product/FnYmP6/kingston-nv2-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-snv2s1000g,$60.99 ,"
Kingston
",SNV2S/1000G,"
1 TB
","
$0.061
","
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 4.0 X4
",No,,
Samsung 970 Evo Plus,//cdna.pcpartpicker.com/static/forever/images/product/326881d073c1b667bd348893696c690e.256p.jpg,https://pcpartpicker.com/product/Zxw7YJ/samsung-970-evo-plus-1-tb-m2-2280-nvme-solid-state-drive-mz-v7s1t0bam,$97.50 ,"
Samsung
","MZ-V7S1T0B/AM, MZ-V7S1T0BW","
1 TB
","
$0.098
","
SSD
","
1024 MB
","
M.2-2280
","
M.2 PCIe 3.0 X4
",No,,
Samsung 990 Pro,//cdna.pcpartpicker.com/static/forever/images/product/242cc7c9d1e07078de3b04029e20dd82.256p.jpg,https://pcpartpicker.com/product/RKYmP6/samsung-990-pro-4-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-mz-v9p4t0bw,$309.99 ,"
Samsung
","MZ-V9P4T0BW, MZ-V9P4T0B/AM","
4 TB
","
$0.077
","
SSD
","
4096 MB
","
M.2-2280
","
M.2 PCIe 4.0 X4
",No,,
Crucial P3 Plus,//cdna.pcpartpicker.com/static/forever/images/product/2830bf3ba317c794ccde742efe4304be.256p.jpg,https://pcpartpicker.com/product/chzhP6/crucial-p3-plus-1-tb-m2-2280-nvme-solid-state-drive-ct1000p3pssd8,$72.50 ,"
Crucial
",CT1000P3PSSD8,"
1 TB
","
$0.072
","
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 4.0 X4
",No,,
Samsung 980 Pro,//cdna.pcpartpicker.com/static/forever/images/product/4e02c24a00f7b79a56489db2acbe3a9b.256p.jpg,https://pcpartpicker.com/product/DDWBD3/samsung-980-pro-1-tb-m2-2280-nvme-solid-state-drive-mz-v8p1t0bam,$106.13 ,"
Samsung
","MZ-V8P1T0B/AM, MZ-V8P1T0BW","
1 TB
","
$0.106
","
SSD
","
1024 MB
","
M.2-2280
","
M.2 PCIe 4.0 X4
",No,,
Samsung 990 Pro,//cdna.pcpartpicker.com/static/forever/images/product/55fb148a837f9e33dfdb095188af8a74.256p.jpg,https://pcpartpicker.com/product/34ytt6/samsung-990-pro-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-mz-v9p2t0bw,$184.50 ,"
Samsung
","MZ-V9P2T0BW, MZ-V9P2T0B/AM","
2 TB
","
$0.092
","
SSD
","
2048 MB
","
M.2-2280
","
M.2 PCIe 4.0 X4
",No,,
Crucial P3 Plus,https://m.media-amazon.com/images/I/31nXTKlKQYL.jpg,https://pcpartpicker.com/product/yGZ9TW/crucial-p3-plus-2-tb-m2-2280-nvme-solid-state-drive-ct2000p3pssd8,$124.99 ,"
Crucial
",CT2000P3PSSD8,"
2 TB
","
$0.062
","
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 4.0 X4
",No,,
Western Digital Black SN850X,//cdna.pcpartpicker.com/static/forever/images/product/8e6dbae8a0f3c6572216c8758ce5a0b5.256p.jpg,https://pcpartpicker.com/product/crKKHx/western-digital-black-sn850x-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-wds200t2x0e,$159.00 ,"
Western Digital
","WDS200T2X0E, WDBB9G0020BNC-WRSN","
2 TB
","
$0.080
","
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 4.0 X4
",No,,
Seagate Barracuda Compute,//cdna.pcpartpicker.com/static/forever/images/product/c7b5b7dacbecdcdd0e073b761193eef6.256p.jpg,https://pcpartpicker.com/product/mwrYcf/seagate-barracuda-computer-2-tb-35-7200rpm-internal-hard-drive-st2000dm008,$64.98 ,"
Seagate
",ST2000DM008,"
2 TB
","
$0.032
","
7200 RPM
","
256 MB
","
3.5",,,,
",",,,,,,,,,,,,,,
SATA 6.0 Gb/s,,,,,,,,,,,,,,
",No""",9,,,,,,,,,,,,,
Mushkin Source HC,https://m.media-amazon.com/images/I/31KeULdwSLL.jpg,https://pcpartpicker.com/product/zxVmP6/mushkin-source-hc-16-tb-25-solid-state-drive-mknssdhc16tb,"$2,302.98 ","
Mushkin
",MKNSSDHC16TB,"
16 TB
","
$0.144
","
SSD
",N/A,"
2.5",,,,
",No""",8,,,,,,,,,,,,,
Kingston NV2,//cdna.pcpartpicker.com/static/forever/images/product/f1af66b97ac908b094775b859ce9d33e.256p.jpg,https://pcpartpicker.com/product/3QXJ7P/kingston-nv2-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-snv2s2000g,$118.00 ,"
Kingston
",SNV2S/2000G,"
2 TB
","
$0.059
","
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 4.0 X4
",No,,
Western Digital Blue SN580,//cdna.pcpartpicker.com/static/forever/images/product/f3d3390c0b08de6bbdfecbac012c639b.256p.jpg,https://pcpartpicker.com/product/rqhv6h/western-digital-blue-sn580-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-wds100t3b0e,$71.00 ,"
Western Digital
",WDS100T3B0E,"
1 TB
","
$0.071
","
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 4.0 X4
",No,,
Western Digital Black SN770,https://m.media-amazon.com/images/I/310UZVOtlfL.jpg,https://pcpartpicker.com/product/4KRYcf/western-digital-2-tb-m2-2280-nvme-solid-state-drive-wds200t3x0e,$137.46 ,"
Western Digital
",WDS200T3X0E,"
2 TB
","
$0.069
","
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 4.0 X4
",No,,
Kingston NV2,//cdna.pcpartpicker.com/static/forever/images/product/b95d0c7234714c4d7bb0f246c23cd3b9.256p.jpg,https://pcpartpicker.com/product/QvpzK8/kingston-nv2-500-gb-m2-2280-pcie-40-x4-nvme-solid-state-drive-snv2s500g,$42.99 ,"
Kingston
",SNV2S/500G,"
500 GB
","
$0.086
","
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 4.0 X4
",No,,
Western Digital Black SN850X,//cdna.pcpartpicker.com/static/forever/images/product/8e6dbae8a0f3c6572216c8758ce5a0b5.256p.jpg,https://pcpartpicker.com/product/yBC48d/western-digital-black-sn850x-4-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-wds400t2x0e,$314.00 ,"
Western Digital
","WDS400T2X0E, WDBB9G0040BNC-WRSN","
4 TB
","
$0.079
","
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 4.0 X4
",No,,
Silicon Power UD90,//cdna.pcpartpicker.com/static/forever/images/product/664aadb9f84d7293d083671b43c1f898.256p.jpg,https://pcpartpicker.com/product/f4cG3C/silicon-power-ud90-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-sp02kgbp44ud9005,$114.97 ,"
Silicon Power
",SP02KGBP44UD9005,"
2 TB
","
$0.057
","
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 4.0 X4
",No,,
TEAMGROUP MP44L,//cdna.pcpartpicker.com/static/forever/images/product/54ce8af72e7d2a00dfe405da2cbf5313.256p.jpg,https://pcpartpicker.com/product/2VJgXL/teamgroup-mp44l-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-tm8fpk002t0c101,$112.99 ,"
TEAMGROUP
",TM8FPK002T0C101,"
2 TB
","
$0.056
","
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 4.0 X4
",No,,
Samsung 870 QVO,//cdna.pcpartpicker.com/static/forever/images/product/29b838814626cac9b060a2d2c0a293cd.256p.jpg,https://pcpartpicker.com/product/7Qvqqs/samsung-870-qvo-8-tb-25-solid-state-drive-mz-77q8t0bam,$594.90 ,"
Samsung
","MZ-77Q8T0B/AM, MZ-77Q8T0BW","
8 TB
","
$0.074
","
SSD
",N/A,"
2.5",,,,
Crucial T700,//cdna.pcpartpicker.com/static/forever/images/product/708ad07de98d1fb30d2435a7ef47b3ab.256p.jpg,https://pcpartpicker.com/product/xhkH99/crucial-t700-4-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-ct4000t700ssd3,$426.99 ,"
Crucial
",CT4000T700SSD3,"
4 TB
","
$0.107
","
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 5.0 X4
",No,,
Samsung 980,//cdna.pcpartpicker.com/static/forever/images/product/2aff821ed66963cb32fb0c71b093eccc.256p.jpg,https://pcpartpicker.com/product/mKBG3C/samsung-980-1-tb-m2-2280-nvme-solid-state-drive-mz-v8v1t0bam,$89.99 ,"
Samsung
","MZ-V8V1T0B/AM, MZ-V8V1T0BW","
1 TB
","
$0.090
","
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 3.0 X4
",No,,
